,year,month,day,revenuePerDay,arrival_date,label
0,2015,07,1,20311.186621463992,2015-07-01,2.0
1,2015,07,2,16530.645277170002,2015-07-02,1.0
2,2015,07,3,12966.714164,2015-07-03,1.0
3,2015,07,4,17480.654256581,2015-07-04,1.0
4,2015,07,5,19591.45847762,2015-07-05,1.0
5,2015,07,6,21441.591687810003,2015-07-06,2.0
6,2015,07,7,10930.818639550003,2015-07-07,1.0
7,2015,07,8,12148.622651509997,2015-07-08,1.0
8,2015,07,9,10274.330081430002,2015-07-09,1.0
9,2015,07,10,23705.828343310004,2015-07-10,2.0
10,2015,07,11,27216.100987,2015-07-11,2.0
11,2015,07,12,22639.350505169998,2015-07-12,2.0
12,2015,07,13,20809.522841570004,2015-07-13,2.0
13,2015,07,14,15760.514651501,2015-07-14,1.0
14,2015,07,15,12779.152460775997,2015-07-15,1.0
15,2015,07,16,24603.231367720004,2015-07-16,2.0
16,2015,07,17,35427.85498815999,2015-07-17,3.0
17,2015,07,18,37014.806972469996,2015-07-18,3.0
18,2015,07,19,20388.255353130004,2015-07-19,2.0
19,2015,07,20,36553.06021599999,2015-07-20,3.0
20,2015,07,21,15595.747584490002,2015-07-21,1.0
21,2015,07,22,11770.801310443998,2015-07-22,1.0
22,2015,07,23,20703.367788860003,2015-07-23,2.0
23,2015,07,24,29244.417017546995,2015-07-24,2.0
24,2015,07,25,38455.37703570302,2015-07-25,3.0
25,2015,07,26,24547.049655895004,2015-07-26,2.0
26,2015,07,27,32740.541391330004,2015-07-27,3.0
27,2015,07,28,10592.904345383002,2015-07-28,1.0
28,2015,07,29,13586.897246142997,2015-07-29,1.0
29,2015,07,30,21683.680861781002,2015-07-30,2.0
30,2015,07,31,21995.14212003,2015-07-31,2.0
31,2015,08,1,56063.34636204002,2015-08-01,5.0
32,2015,08,2,34373.70723286,2015-08-02,3.0
33,2015,08,3,39216.174107032,2015-08-03,3.0
34,2015,08,4,21667.123815182,2015-08-04,2.0
35,2015,08,5,20127.669037207004,2015-08-05,2.0
36,2015,08,6,18103.363865821,2015-08-06,1.0
37,2015,08,7,27375.020605694008,2015-08-07,2.0
38,2015,08,8,45576.44264549999,2015-08-08,4.0
