,year,month,day,hotel,adr,stays_in_weekend_nights,stays_in_week_nights,revenuePerOrder
0,2015,07,1,Resort Hotel,-6.3051608429999995,0,0,-0.0
1,2015,07,1,City Hotel,75.05222697,0,2,150.10445394
2,2015,07,1,City Hotel,74.54640111,0,2,149.09280222
3,2015,07,1,City Hotel,76.37628755,0,2,152.7525751
4,2015,07,1,City Hotel,49.41164693,0,2,98.82329386
5,2015,07,1,City Hotel,92.83288701,0,2,185.66577402
6,2015,07,1,City Hotel,80.66736067,0,2,161.33472134
7,2015,07,1,City Hotel,71.13839553,0,2,142.27679106
8,2015,07,1,City Hotel,63.114261,0,2,126.228522
9,2015,07,1,City Hotel,44.07361105,0,2,88.1472221
10,2015,07,1,City Hotel,86.86197271,0,2,173.72394542
11,2015,07,1,City Hotel,90.9927053,0,2,181.9854106
12,2015,07,1,City Hotel,73.29594672,0,2,146.59189344
13,2015,07,1,City Hotel,66.50457569,0,2,133.00915138
14,2015,07,1,City Hotel,87.50337569,0,2,175.00675138
15,2015,07,1,City Hotel,76.14472155,0,2,152.2894431
16,2015,07,1,City Hotel,72.45548246,0,2,144.91096492
17,2015,07,1,City Hotel,63.28150502,0,2,126.56301004
18,2015,07,1,City Hotel,83.08685788,0,2,166.17371576
19,2015,07,1,City Hotel,82.49135855,0,2,164.9827171
20,2015,07,1,City Hotel,70.08944233,0,2,140.17888466
21,2015,07,1,City Hotel,63.91092378,0,2,127.82184756
22,2015,07,1,City Hotel,53.69446847,0,2,107.38893694
33,2015,07,1,City Hotel,47.62546257,0,2,95.25092514
34,2015,07,1,City Hotel,35.25804108,0,2,70.51608216
35,2015,07,1,City Hotel,34.744451899999994,0,2,69.48890379999999
36,2015,07,1,City Hotel,73.46833788,0,2,146.93667576
37,2015,07,1,City Hotel,53.60020799,0,2,107.20041598
38,2015,07,1,City Hotel,68.56017189,0,2,137.12034378
39,2015,07,1,City Hotel,57.11304464,0,2,114.22608928
40,2015,07,1,City Hotel,49.28851879,0,2,98.57703758
41,2015,07,1,City Hotel,78.00341724,0,2,156.00683448
42,2015,07,1,City Hotel,80.22349747,0,2,160.44699494
44,2015,07,1,City Hotel,68.26857865,0,2,136.5371573
45,2015,07,1,City Hotel,45.13184889,0,2,90.26369778
46,2015,07,1,City Hotel,77.99029064,0,2,155.98058128
47,2015,07,1,City Hotel,79.82402346,0,2,159.64804692
48,2015,07,1,City Hotel,73.65291266,0,2,147.30582532
49,2015,07,1,City Hotel,58.85037795,0,2,117.7007559
50,2015,07,1,City Hotel,80.14363734,1,4,400.7181867
51,2015,07,1,City Hotel,82.57311517,1,4,412.86557584999997
54,2015,07,1,City Hotel,72.13637803,0,2,144.27275606
56,2015,07,1,Resort Hotel,28.08171251,2,5,196.57198757
57,2015,07,1,Resort Hotel,37.97729688,2,5,265.84107816
58,2015,07,1,Resort Hotel,50.09301047,2,5,350.65107329
59,2015,07,1,Resort Hotel,42.30821624,1,4,211.5410812
60,2015,07,1,Resort Hotel,32.84911574,0,4,131.39646296
61,2015,07,1,Resort Hotel,111.85258700000001,0,4,447.41034800000006
62,2015,07,1,Resort Hotel,125.62863689999999,0,1,125.62863689999999
63,2015,07,1,Resort Hotel,-0.7293402059999999,0,1,-0.7293402059999999
64,2015,07,1,City Hotel,-2.902196445,0,2,-5.80439289
65,2015,07,1,City Hotel,80.61358741,0,2,161.22717482
66,2015,07,1,City Hotel,78.11135368,0,2,156.22270736
67,2015,07,1,City Hotel,52.68258304,0,2,105.36516608
68,2015,07,1,City Hotel,72.73091602,0,2,145.46183204
69,2015,07,1,City Hotel,85.98317504,0,2,171.96635008
70,2015,07,1,City Hotel,90.66785038,0,2,181.33570076
71,2015,07,1,City Hotel,59.19234119,0,2,118.38468238
72,2015,07,1,City Hotel,90.66448681,0,2,181.32897362
73,2015,07,1,City Hotel,79.61445559,0,2,159.22891118
74,2015,07,1,City Hotel,69.58951553,0,2,139.17903106
75,2015,07,1,City Hotel,71.57263538,0,2,143.14527076
76,2015,07,1,City Hotel,83.00211389,0,2,166.00422778
77,2015,07,1,City Hotel,84.43525674,0,2,168.87051348
78,2015,07,1,City Hotel,94.73318644,0,2,189.46637288
79,2015,07,1,City Hotel,85.88190108,0,2,171.76380216
80,2015,07,1,City Hotel,69.71511704,0,2,139.43023408
81,2015,07,1,City Hotel,66.09769392,0,2,132.19538784
82,2015,07,1,City Hotel,75.49674941,0,2,150.99349882
83,2015,07,1,City Hotel,74.65763002,0,2,149.31526004
84,2015,07,1,City Hotel,82.20181533,0,2,164.40363066
85,2015,07,1,City Hotel,69.90576826,0,2,139.81153652
86,2015,07,1,City Hotel,86.94596231,0,2,173.89192462
87,2015,07,1,City Hotel,91.27115156,0,2,182.54230312
88,2015,07,1,Resort Hotel,127.6420377,0,1,127.6420377
89,2015,07,1,Resort Hotel,27.54046688,4,10,385.56653632
90,2015,07,1,Resort Hotel,34.98962386,4,10,489.85473404000004
91,2015,07,1,Resort Hotel,73.74190739,0,4,294.96762956
92,2015,07,1,Resort Hotel,119.5709115,0,4,478.283646
95,2015,07,1,Resort Hotel,56.62723663,2,5,396.39065641
96,2015,07,1,Resort Hotel,72.80205059999999,2,5,509.6143541999999
97,2015,07,1,Resort Hotel,49.60556396,2,5,347.23894772
98,2015,07,1,Resort Hotel,29.32650348,4,11,439.8975522
100,2015,07,1,Resort Hotel,57.72366851,2,5,404.06567957000004
101,2015,07,1,Resort Hotel,78.95890902,2,4,473.75345411999996
102,2015,07,1,Resort Hotel,75.1657776,2,4,450.99466559999996
103,2015,07,1,Resort Hotel,65.10718598,2,4,390.64311588
104,2015,07,1,Resort Hotel,85.27267618,1,4,426.36338090000004
107,2015,07,1,Resort Hotel,115.7588145,0,4,463.035258
108,2015,07,1,Resort Hotel,93.47651701,0,2,186.95303402
109,2015,07,1,Resort Hotel,92.07068589,0,2,184.14137178
110,2015,07,1,Resort Hotel,101.71053979999999,0,1,101.71053979999999
111,2015,07,1,Resort Hotel,88.03587461,0,2,176.07174922
112,2015,07,1,Resort Hotel,68.96728095,0,1,68.96728095
